"Central 2"	"Central"	"Buikwe"	" 407,100 "	18,820	67,370	" 8 "	65	
"Central 1"	"Central"	"Bukomansimbi"	" 150,900 "	6,820	24,040	" 4 "	20	" 52 "
"Central 1"	"Central"	"Butambala"	" 96,700 "	4,430	16,090	" 5 "	25	
"Central 2"	"Central"	"Buvuma"	" 52,400 "	2,920	8,510	" 4 "	12	
"Central 1"	"Central"	"Gomba"	" 148,700 "	7,150	25,310	" 4 "	9	
"Central 1"	"Central"	"Kalangala"	" 58,100 "	1,890	6,470	" 6 "	15	
"Central 1"	"Central"	"Kalungu"	" 173,800 "	7,490	27,040	" 5 "	32	
"Kampala"	"Central"	"Kampala"	" 1,597,800 "	50,190	186,730	" 7 "	52	" 171 "
"Central 2"	"Central"	"Kayunga"	" 344,600 "	18,020	62,440	" 8 "	66	" 210 "
"Central 2"	"Central"	"Kiboga"	" 151,500 "	6,730	24,770	" 13 "	81	" 115 "
"Central 2"	"Central"	"Kyankwanzi"	" 168,100 "	8,720	29,200	" 5 "	51	
"Central 2"	"Central"	"Luweero"	" 418,000 "	20,350	71,640	" 10 "	89	" 150 "
"Central 1"	"Central"	"Lwengo"	" 262,000 "	12,540	42,660	" 6 "	35	" 85 "
"Central 1"	"Central"	"Lyantonde"	" 77,100 "	3,410	12,080	" 5 "	26	
"Central 1"	"Central"	"Masaka"	" 247,000 "	10,450	36,090	" 5 "	126	" 135 "
"Central 2"	"Central"	"Mityana"	" 301,800 "	13,120	47,500	" 11 "	57	" 158 "
"Central 1"	"Central"	"Mpigi"	" 209,400 "	9,130	33,240	" 14 "	118	" 147 "
"Central 2"	"Central"	"Mubende"	" 566,600 "	27,870	97,330	" 14 "	93	" 100 "
"Central 2 "	"Central"	"Mukono"	" 522,100 "	22,980	82,250	" 12 "	149	" 351 "
"Central 2"	"Central"	"Nakaseke"	" 178,600 "	8,880	30,880	" 10 "	46	
"Central 2"	"Central"	"Nakasongola"	" 150,000 "	7,870	27,070	" 8 "	45	" 50 "
"Central 1"	"Central"	"Rakai"	" 466,900 "	21,400	76,090	" 20 "	104	" 152 "
"Central 1"	"Central"	"Ssembabule"	" 210,900 "	10,070	35,380	" 6 "	35	" 108 "
"Central 1"	"Central"	"Wakiso"	" 1,260,900 "	46,790	172,720	" 15 "	138	" 195 "
"Eastern"	"Eastern"	"Amuria"	" 344,200 "	19,600	66,340	" 9 "	58	" 15 "
"Eastern"	"Eastern"	"Budaka"	" 169,300 "	9,640	32,640	" 12 "	56	
"Eastern"	"Eastern"	"Bududa"	" 167,000 "	9,510	32,230	" 16 "	90	
"East Central"	"Eastern"	"Bugiri"	" 387,800 "	21,400	73,600	" 11 "	101	" 338 "
"Eastern"	"Eastern"	"Bukedea"	" 171,100 "	9,750	33,000	" 5 "	72	
"Eastern"	"Eastern"	"Bukwa"	" 67,500 "	3,850	13,020	" 11 "	92	
